City,Latitude,Longitude
Arizona,33.5276,-112.2626
Atlanta,33.7554,-84.4009
Baltimore,39.2779,-76.6227
Buffalo,42.7738,-78.7868
Carolina,35.2258,-80.8528
Chicago,41.8623,-87.6167
Cincinnati,39.0954,-84.5161
Cleveland,41.5061,-81.6995
Dallas,32.7473,-97.0945
Denver,39.7439,-105.0201
Detroit,42.339,-83.0456
Green Bay,44.5013,-88.0622
Houston,29.6847,-95.4107
Indianapolis,39.7601,-86.1639
Jacksonville,30.3239,-81.6373
Kansas City,39.049,-94.4839
Las Vegas,36.0909,-115.183
Los Angeles,33.9535,-118.3392
Miami,25.958,-80.2389
Minnesota,44.9736,-93.2575
New England,42.0909,-71.2643
New Orleans,29.9511,-90.0812
New York,40.8135,-74.0745
Philadelphia,39.9008,-75.1675
Pittsburgh,40.4468,-80.0158
San Francisco,37.403,-121.9702
Seattle,47.5952,-122.3316
Tampa Bay,27.9759,-82.5033
Tennessee,36.1664,-86.7713
Washington,38.9078,-76.8645
Sao Paulo,-23.5505,-46.6333
London,51.5074,-0.1278
Munich,48.1351,11.582
